PT,B1,B2,B3,B4,B5,B6,B7,B8
754,1,3E,00,00,00,00,00,00
75C,1,7E,00,00,00,00,00,00
754,2,A8,01,00,00,00,00,00
75C,10,34,E8,01,00,04,FF,FF
754,30,00,04,00,00,00,00,00
75C,21,FF,FF,11,07,BF,EB,CF
75C,22,FF,DE,02,00,12,03,E3
75C,23,F8,00,13,05,78,F0,FF
75C,24,80,E0,14,04,0F,00,7F
75C,25,7C,15,01,E0,16,01,0F
75C,26,18,02,FF,F8,19,05,FF
75C,27,FF,FF,FF,F0,00,00,00
75C,10,35,E8,01,1C,29,FF,FF
754,30,00,04,00,00,00,00,00
75C,21,FF,FF,FF,FF,FF,00,00
75C,22,FF,FF,00,FF,FF,FF,FF
75C,23,FF,00,00,00,FF,FF,00
75C,24,00,00,FF,FF,00,00,00
75C,25,FF,FF,FF,FF,FF,FF,FF
75C,26,00,FF,00,00,1D,06,FF
75C,27,FF,FF,FF,FF,FF,00,00
75C,10,2A,E8,01,1F,20,FF,FF
754,30,00,04,00,00,00,00,00
75C,21,FF,FF,FF,FF,FF,FF,FF
75C,22,FF,FF,FF,FF,FF,FF,FF
75C,23,FF,FF,FF,FF,FF,FF,FF
75C,24,FF,FF,FF,FF,FF,FF,FF
75C,25,FF,FF,20,04,FF,FF,FF
75C,26,FF,00,00,00,00,00,00
75C,10,2D,E8,01,21,29,FF,FF
754,30,00,04,00,00,00,00,00
75C,21,FF,F0,FF,FF,FF,F0,FF
75C,22,FF,FF,F0,FF,FF,FF,F0
75C,23,FF,FF,FF,F0,FF,FF,FF
75C,24,F0,FF,FF,FF,F0,FF,FF
75C,25,FF,F0,FF,FF,FF,F0,FF
75C,26,FF,FF,F0,FF,00,00,00
75C,10,3C,E8,01,23,38,0F,FF
754,30,00,04,00,00,00,00,00
75C,21,FF,FF,FF,FF,FF,FF,FF
75C,22,FF,F0,FF,FF,FF,FF,FF
75C,23,FF,FF,FF,F0,FF,FF,FF
75C,24,FF,FF,FF,FF,FF,F0,FF
75C,25,FF,FF,FF,FF,FF,FF,FF
75C,26,F0,FF,FF,FF,FF,FF,FF
75C,27,FF,FF,F0,FF,FF,FF,FF
75C,28,FF,FF,FF,FF,F0,00,00
75C,10,25,E8,01,24,09,FF,FF
754,30,00,04,00,00,00,00,00
75C,21,FF,FF,FF,FF,FF,FF,F0
75C,22,40,04,FF,FF,FF,FF,60
75C,23,04,FF,FF,FF,FF,80,04
75C,24,FF,FF,FF,FF,A0,04,FF
75C,25,FF,FF,FF,00,00,00,00
75C,10,2C,E8,01,A1,28,FF,FF
754,30,00,04,00,00,00,00,00
75C,21,FF,FF,FF,FF,FF,FF,FF
75C,22,FF,FF,FF,FF,FF,FF,FF
75C,23,FF,FF,FF,FF,FF,FF,FF
75C,24,FF,FF,FF,FF,FF,FF,FF
75C,25,FF,FF,FF,FF,FF,FF,FF
75C,26,FF,FF,FF,00,00,00,00
75C,10,3D,E8,01,A2,16,FF,FF
754,30,00,04,00,00,00,00,00
75C,21,FF,FF,FF,FF,FF,FF,FF
75C,22,FF,FF,FF,FF,FF,FF,FF
75C,23,FF,FF,FF,FF,FF,FF,B1
75C,24,10,FF,FF,FF,FF,FF,FF
75C,25,FF,FF,FF,FF,FF,FF,FF
75C,26,FF,FF,FF,B2,03,FF,F9
75C,27,3F,C0,04,FF,FF,FF,FF
75C,28,E0,04,FF,FF,FF,FF,00
75C,10,13,E8,01,E1,08,FF,FF
754,30,00,04,00,00,00,00,00
75C,21,FF,FF,FF,FF,FF,FF,E2
75C,22,05,FF,FF,FF,FF,FF,00
754,2,21,00,00,00,00,00,00
75C,6,61,00,00,00,FD,9B,00
754,2,21,20,00,00,00,00,00
75C,6,61,20,B0,00,00,01,00
754,2,21,40,00,00,00,00,00
75C,6,61,40,00,00,00,01,00
754,2,21,60,00,00,00,00,00
75C,6,61,60,00,00,00,01,00
754,2,21,80,00,00,00,00,00
75C,6,61,80,00,00,00,01,00
754,2,21,A0,00,00,00,00,00
75C,6,61,A0,C0,00,C0,01,00
754,2,21,C0,00,00,00,00,00
75C,6,61,C0,00,00,00,01,00
754,2,21,E0,00,00,00,00,00
75C,6,61,E0,C0,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,12,00,00,00,00,00
75C,4,61,12,00,20,00,00,00
754,2,21,13,00,00,00,00,00
75C,7,61,13,78,50,30,00,00
754,2,21,14,00,00,00,00,00
75C,5,61,14,00,12,7C,00,00
754,2,21,15,00,00,00,00,00
75C,3,61,15,20,00,00,00,00
754,2,21,16,00,00,00,00,00
75C,3,61,16,03,00,00,00,00
754,2,21,18,00,00,00,00,00
75C,4,61,18,00,00,00,00,00
754,2,21,19,00,00,00,00,00
75C,7,61,19,00,00,02,02,00
754,2,21,1C,00,00,00,00,00
75C,10,1C,61,1C,02,05,02,01
754,30,00,04,00,00,00,00,00
75C,21,01,02,01,00,01,01,01
75C,22,00,01,00,01,00,01,00
75C,23,01,00,01,01,00,00,01
75C,24,01,00,00,00,00,00,00
754,2,21,1D,00,00,00,00,00
75C,10,08,61,1D,02,E1,02,D5
754,30,00,04,00,00,00,00,00
75C,21,02,DF,00,00,00,00,00
754,2,21,23,00,00,00,00,00
75C,10,3A,61,23,06,00,13,00
754,30,00,04,00,00,00,00,00
75C,21,00,04,04,08,24,AC,60
75C,22,24,00,00,BC,FA,08,23
75C,23,AB,00,33,00,00,B8,66
75C,24,08,23,AA,C0,44,00,00
75C,25,98,79,08,23,A9,00,54
75C,26,00,00,98,3B,08,23,A9
75C,27,00,63,00,00,6E,28,08
75C,28,23,A6,C0,00,00,00,00
754,2,21,24,00,00,00,00,00
75C,10,0B,61,24,73,00,00,6B
754,30,00,04,00,00,00,00,00
75C,21,D0,08,23,A6,A0,00,00
754,2,21,E1,00,00,00,00,00
75C,10,0A,61,E1,00,00,08,44
754,30,00,04,00,00,00,00,00
75C,21,00,00,81,11,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
754,30,00,04,00,00,00,00,00
75C,21,1E,00,00,00,00,00,00
754,2,21,11,00,00,00,00,00
75C,10,08,61,11,91,02,00,1E
