Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
1,0.968925,0,67108864,F,F,,HS CAN,,754,F,F,01,3E,00,00,00,00,00,00,,,
2,0.98224335,0.01331835,67108864,F,F,,HS CAN,,75C,F,F,01,7E,00,00,00,00,00,00,,,
3,4.030487175,3.048243825,67108864,F,F,,HS CAN,,754,F,F,02,A8,01,00,00,00,00,00,,,
4,4.0433977,0.012910525,67108864,F,F,,HS CAN,,75C,F,F,10,34,E8,01,00,04,FF,FF,,,
5,4.04413995,0.00074225,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
6,4.063400975,0.019261025,67108864,F,F,,HS CAN,,75C,F,F,21,FF,FF,11,07,BF,EB,CF,,,
7,4.073356575,0.0099556,67108864,F,F,,HS CAN,,75C,F,F,22,FF,DE,02,00,12,03,E3,,,
8,4.08333005,0.009973475,67108864,F,F,,HS CAN,,75C,F,F,23,F8,00,13,05,78,F0,FF,,,
9,4.093372125,0.010042075,67108864,F,F,,HS CAN,,75C,F,F,24,80,E0,14,04,0F,00,7F,,,
10,4.103345675,0.00997355,67108864,F,F,,HS CAN,,75C,F,F,25,7C,15,01,E0,16,01,0F,,,
11,4.1133053,0.009959625,67108864,F,F,,HS CAN,,75C,F,F,26,18,02,FF,F8,19,05,FF,,,
12,4.123343175,0.010037875,67108864,F,F,,HS CAN,,75C,F,F,27,FF,FF,FF,F0,00,00,00,,,
13,4.1332871,0.009943925,67108864,F,F,,HS CAN,,75C,F,F,10,35,E8,01,1C,29,FF,FF,,,
14,4.134029175,0.000742075,67108864,F,F,,HS CAN,,754,F,F,30,00,04,00,00,00,00,00,,,
15,4.1533241,0.019294925,67108864,F,F,,HS CAN,,75C,F,F,21,FF,FF,FF,FF,FF,00,00,,,
16,4.163254025,0.009929925,67108864,F,F,,HS CAN,,75C,F,F,22,FF,FF,00,FF,FF,FF,FF,,,
17,4.17349565,0.010241625,67108864,F,F,,HS CAN,,75C,F,F,23,FF,00,00,00,FF,FF,00,,,
18,4.183447375,0.009951725,67108864,F,F,,HS CAN,,75C,F,F,24,00,00,FF,FF,00,00,00,,,
