reqid	731
rspid	739
PT	B1	B2	B3	B4	B5	B6	B7	B8
731	03	22	D1	00	00	00	00	00
739	04	62	D1	00	01	00	00	00
731	03	22	02	02	00	00	00	00
739	04	62	02	02	00	00	00	00
731	03	19	02	8F	00	00	00	00
739	03	59	02	CA	00	00	00	00
731	03	22	DE	00	00	00	00	00
739	10	10	62	DE	00	48	18	C4
731	30	00	00	00	00	00	00	00
739	21	84	E1	07	09	01	47	90
739	22	02	24	00	00	00	00	00
731	03	22	DE	01	00	00	00	00
739	06	62	DE	01	50	03	00	00
731	03	22	D1	00	00	00	00	00
739	04	62	D1	00	01	00	00	00
731	03	22	D1	00	00	00	00	00
739	04	62	D1	00	01	00	00	00
731	02	10	01	00	00	00	00	00
739	06	50	01	00	32	01	F4	00
731	03	22	33	02	00	00	00	00
739	05	62	33	02	1E	7D	00	00
731	03	22	40	48	00	00	00	00
739	05	62	40	48	00	00	00	00
731	03	22	40	49	00	00	00	00
739	05	62	40	49	00	00	00	00
731	03	22	40	C2	00	00	00	00
739	04	62	40	C2	82	00	00	00
731	03	22	40	C3	00	00	00	00
739	04	62	40	C3	82	00	00	00
731	03	22	A2	21	00	00	00	00
739	04	62	A2	21	8A	00	00	00
731	03	22	C2	5B	00	00	00	00
739	04	62	C2	5B	02	00	00	00
731	03	22	D1	10	00	00	00	00
739	05	62	D1	10	05	5F	00	00
731	03	22	D1	11	00	00	00	00
739	04	62	D1	11	8A	00	00	00
731	03	22	D1	12	00	00	00	00
739	04	62	D1	12	AE	00	00	00
731	03	22	D1	2E	00	00	00	00
739	05	62	D1	2E	05	6E	00	00
731	03	22	D9	70	00	00	00	00
739	04	62	D9	70	80	00	00	00
731	03	22	D9	71	00	00	00	00
739	04	62	D9	71	00	00	00	00
731	03	22	D9	72	00	00	00	00
739	04	62	D9	72	00	00	00	00
731	03	22	D9	73	00	00	00	00
739	04	62	D9	73	80	00	00	00
731	03	22	D9	74	00	00	00	00
739	04	62	D9	74	00	00	00	00
731	03	22	D9	75	00	00	00	00
739	04	62	D9	75	00	00	00	00
731	03	22	D9	77	00	00	00	00
739	05	62	D9	77	00	00	00	00
731	03	22	D9	78	00	00	00	00
739	05	62	D9	78	03	80	00	00
731	03	22	D9	7B	00	00	00	00
739	07	62	D9	7B	38	A8	60	00
731	03	22	D9	80	00	00	00	00
739	05	62	D9	80	00	30	00	00
731	03	22	D9	81	00	00	00	00
739	05	62	D9	81	02	6D	00	00
731	03	22	D9	82	00	00	00	00
739	05	62	D9	82	00	C6	00	00
731	03	22	D9	83	00	00	00	00
739	04	62	D9	83	02	00	00	00
731	03	22	D9	84	00	00	00	00
739	05	62	D9	84	03	F5	00	00
731	02	10	01	00	00	00	00	00
739	06	50	01	00	32	01	F4	00
731	03	22	D1	00	00	00	00	00
739	04	62	D1	00	01	00	00	00
731	02	10	01	00	00	00	00	00
739	06	50	01	00	32	01	F4	00
731	03	22	D9	71	00	00	00	00
739	04	62	D9	71	00	00	00	00
731	03	22	D9	73	00	00	00	00
739	04	62	D9	73	80	00	00	00
731	03	22	D9	74	00	00	00	00
739	04	62	D9	74	00	00	00	00
731	03	22	D9	77	00	00	00	00
739	05	62	D9	77	00	00	00	00
731	03	22	D9	7B	00	00	00	00
739	07	62	D9	7B	38	A8	60	00
731	03	22	D9	71	00	00	00	00
739	04	62	D9	71	00	00	00	00
731	03	22	D9	73	00	00	00	00
739	04	62	D9	73	80	00	00	00
731	03	22	D9	74	00	00	00	00
739	04	62	D9	74	00	00	00	00
731	03	22	D9	77	00	00	00	00
739	05	62	D9	77	00	00	00	00
731	03	22	D9	7B	00	00	00	00
739	07	62	D9	7B	38	A8	60	00
731	03	22	D9	71	00	00	00	00
739	04	62	D9	71	00	00	00	00
731	03	22	D9	73	00	00	00	00
739	04	62	D9	73	80	00	00	00
731	03	22	D9	74	00	00	00	00
739	04	62	D9	74	00	00	00	00
731	03	22	D9	77	00	00	00	00
739	05	62	D9	77	00	00	00	00
731	03	22	D9	7B	00	00	00	00
739	07	62	D9	7B	38	A8	60	00
731	03	22	D9	71	00	00	00	00
739	04	62	D9	71	00	00	00	00
731	03	22	D9	73	00	00	00	00
739	04	62	D9	73	80	00	00	00
731	03	22	D9	74	00	00	00	00
739	04	62	D9	74	00	00	00	00
731	03	22	D9	77	00	00	00	00
739	05	62	D9	77	00	00	00	00
731	03	22	D9	7B	00	00	00	00
739	07	62	D9	7B	38	A8	60	00
731	03	22	D9	71	00	00	00	00
739	04	62	D9	71	00	00	00	00
731	03	22	D9	73	00	00	00	00
739	04	62	D9	73	80	00	00	00
731	03	22	D9	74	00	00	00	00
739	04	62	D9	74	00	00	00	00
731	03	22	D9	77	00	00	00	00
739	05	62	D9	77	00	00	00	00
731	03	22	D9	7B	00	00	00	00
739	07	62	D9	7B	38	A8	60	00
731	03	22	D9	71	00	00	00	00
739	04	62	D9	71	00	00	00	00
731	03	22	D9	73	00	00	00	00
739	04	62	D9	73	80	00	00	00
731	03	22	D9	74	00	00	00	00
739	04	62	D9	74	00	00	00	00
731	03	22	D9	77	00	00	00	00
739	05	62	D9	77	00	00	00	00
731	03	22	D9	7B	00	00	00	00
739	07	62	D9	7B	38	A8	60	00
731	03	22	40	C2	00	00	00	00
739	04	62	40	C2	81	00	00	00
731	03	22	D9	71	00	00	00	00
739	04	62	D9	71	00	00	00	00
731	03	22	D9	73	00	00	00	00
739	04	62	D9	73	80	00	00	00
731	03	22	D9	74	00	00	00	00
739	04	62	D9	74	00	00	00	00
731	03	22	D9	77	00	00	00	00
739	05	62	D9	77	00	00	00	00
731	03	22	D9	7B	00	00	00	00
739	07	62	D9	7B	38	A8	60	00
731	03	22	40	C2	00	00	00	00
739	04	62	40	C2	82	00	00	00
731	03	22	40	C3	00	00	00	00
739	04	62	40	C3	82	00	00	00
731	03	22	D9	71	00	00	00	00
739	04	62	D9	71	00	00	00	00
731	03	22	D9	74	00	00	00	00
739	04	62	D9	74	00	00	00	00
731	03	22	D9	77	00	00	00	00
739	05	62	D9	77	00	00	00	00
731	03	22	D9	78	00	00	00	00
739	05	62	D9	78	03	80	00	00
731	03	22	D9	7B	00	00	00	00
739	07	62	D9	7B	38	A8	60	00
